parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,40.634128,,6169,-75.488906,,,2099_merged_671199,,Presidential at Mickley EB,0,,
,40.674048,,6073,-75.49267,,,344,,2nd at Chestnut NB,0,,
,40.672754,,6040,-75.491328,,,347,,2nd at Coplay SB,0,,
,40.67143245,,6075,-75.48974878,,,342,,2nd at Center NB,0,,
,40.67160157,,6041,-75.48998673,,,343,,2nd at Center SB,0,,
,40.648798,,3186,-75.468229,,,2918,,Race at Front NB,0,,
,40.621668,,6249,-75.480777,,,2699_merged_671191,,Jordan Parkway WB,0,,
,40.610609,,1343,-75.475764,,,71_merged_671213,,Allen Street WB,0,,
,40.591158,,4500,-75.446744,,,2318,,Susquehanna at Carlisle WB,0,,
,40.591017,,4561,-75.446954,,,2319,,Susquehanna at Carlisle EB,0,,
,40.594411,,4512,-75.417799,,,2316,,Susquehanna at Brook WB,0,,
,40.593949,,4572,-75.419829,,,2317,,Susquehanna at Forest EB,0,,
,40.590875,,4560,-75.448996,,,2314,,Susquehanna at Bradford EB,0,,
,40.593969,,4511,-75.420364,,,2315,,Susquehanna at Forest WB,0,,
,40.590747,,4559,-75.45093,,,2312,,Susquehanna at Albert EB,0,,
,40.591019,,4499,-75.448771,,,2313,,Susquehanna at Bradford WB,0,,
,40.590889,,4498,-75.450637,,,2311,,Susquehanna at Albert WB,0,,
,40.685819,,5392,-75.242912,,,298,,21st at Washington,0,,
,40.867592,,5582,-75.206392,,,294,,1st at Municipal,0,,
,40.646159,,6089,-75.474773,,,292,,1st at Allen,0,,
,40.645575,,6055,-75.474388,,,293,,1st at Bridge,0,,
,40.606556,,4402,-75.501633,,,290,,19th at Washington NB,0,,
,40.606754,,4463,-75.501903,,,291,,19th at Washington SB,0,,
,40.60534,,4456,-75.49394,,,270,,16th at Allen,0,,
,40.604947,,4100,-75.496285,,,271,,17th at Allen SB,0,,
,40.603754,,4101,-75.495713,,,272,,17th at Liberty SB,0,,
,40.603501,,4106,-75.495444,,,273,,17th at Liberty NB,0,,
,40.597771,,4997,-75.492726,,,274,,17th at Linden NB,0,,
,40.685276,,5352,-75.236474,,,275,,18th at Butler,0,,
,40.603631,,4400,-75.500247,,,276,,19th at Allen NB,0,,
,40.603787,,4461,-75.50048,,,277,,19th at Allen SB,0,,
,40.614582,,4407,-75.505439,,,278,,19th at Fairmont NB,0,,
,40.61476,,4468,-75.505692,,,279,,19th at Fairmont SB,0,,
,40.619338,,4944,-75.442244,,,3211,,Irving at Tilghman NB,0,,
,40.682484,,5281,-75.208611,,,2268,,St Joseph at Folk,0,,
,40.682303,,5279,-75.210443,,,2269,,St John at St Joseph,0,,
,40.675063,,5270,-75.209351,,,2262,,St John at Palmer NB,0,,
,40.676421,,5272,-75.209577,,,2260,,St John at Grant,0,,
,40.681648,,5197,-75.210607,,,2261,,St John at Nesquehoning SB,0,,
,40.682371,,5283,-75.210046,,,2266,,St Joseph at St John EB,0,,
,40.680544,,5198,-75.210207,,,2267,,St John at Wilkes Barre NB,0,,
,40.675944,,5271,-75.209494,,,2264,,St John at Rock NB,0,,
,40.715807,,4663,-75.22047,,,2442,,Sullivan Trail at Forks City Hall SB,0,,
,40.625428,,4662,-75.397278,,,2440,,Union at 10th WB,0,,
,40.62527,,4614,-75.397558,,,2441,,Union at 10th EB,0,,
,40.625472,,4664,-75.400261,,,2444,,Union at 12th WB,0,,
,40.625324,,4616,-75.400589,,,2445,,Union at 12th EB,0,,
