from_stop_id,to_stop_id,transfer_type,min_transfer_time
1,1,1,
2,2414,1,
3,3,1,
3,164,1,
3,950,1,
3,2431,1,
4,4,1,
9,9,1,
11,11,1,
28,28,1,
30,30,1,
52,428,1,
73,73,1,
89,2350,1,
142,3,1,
142,950,1,
142,2431,1,
144,1430,1,
144,1431,1,
154,800,1,
164,3,1,
164,164,1,
164,950,1,
164,2431,1,
174,428,1,
183,183,1,
199,1181,1,
273,1672,1,
273,1673,1,
296,275,1,
427,52,1,
427,174,1,
428,52,1,
442,427,1,
539,1580,1,
580,270,1,
642,414,1,
786,414,1,
800,800,1,
950,3,1,
950,148,1,
950,274,1,
1430,144,1,
1430,1431,1,
1431,144,1,
1431,1430,1,
1431,1431,1,
1545,4,1,
1672,273,1,
1673,273,1,
2346,2350,1,
2431,3,1,
2431,142,1,
2431,164,1,
