block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name,original_trip_id
b_21229,107_merged_671273,,1,To Crest Plaza,48_merged_671579,"Mon, Wed, Fri",3_znrbzl0on,,
b_11208,217_merged_671250,,0,To Roseto,99_merged_671548,"Mon, Wed, Fri",3_dzezehw6s,,
b_22201,102_merged_671269,,1,To Cedar Point via Hosp,18_merged_671564,Saturday_merged_671281,1_0yauvp3bh,,
b_22308,100,,0,To Casino,2_merged_671604,Saturday_merged_671281,1_nyg1f54fo,,
a_11204.0,220_merged_671248,,0,To EITC - Easton,133_merged_671282,Weekday_merged_671277,0_wsq4n2vmv_merged_671721,,0_wsq4n2vmv
a_21309.0,101_merged_671244,,0,To EITC - Easton,2_merged_671441,Weekday_merged_671277,0_tby7pwu88,,
a_23104.0,213_merged_671226,,0,To Allentown Transit Center (Exp),94_merged_671304,Sunday_merged_671276,2_oSn2Hbb-6dv_merged_671915,,2_oSn2Hbb-6dv
a_23110.0,103_merged_671243,,0,To Northampton,24_merged_671293,Sunday_merged_671276,2_HgUtHHh75zFs,,
b_11211,108_merged_671268,,0,To Bethlehem Square,51_merged_671490,Weekday_merged_671280,0_Wmjyop6wzuO_merged_672552,,0_Wmjyop6wzuO
b_11210,214_merged_671251,,0,To Forks Industrial Park,85_merged_671512,Weekday_merged_671280,0_rsei4e7j0,,
a_12107.0,214_merged_671224,,0,To Forks Plaza via SS Easton,103_merged_671358,Saturday_merged_671278,1_aHp9F7qRlHH,,
a_12111.0,106_merged_671245,,1,To EITC - Easton Intermodal,57_merged_671325,Saturday_merged_671278,1_QQTbHLFfUS__merged_672337,,1_QQTbHLFfUS_
b_11201,606,,1,Southside Easton via Centre,153_merged_671571,Weekday_merged_671280,0_5au2l29zi,,
b_21208,218_merged_671258,,0,To Allentown Transit Center,105_merged_671527,"Mon, Wed, Fri",3_5o91y333d,,
b_22214,105_merged_671265,,0,To LVIA Airport,31_merged_671532,Saturday_merged_671281,1_k8qsudvyb,,
b_21219,107_merged_671273,,1,To Crest Plaza,48_merged_671579,Weekday_merged_671280,0_L1oUBFxw6UEg_merged_673048,,0_L1oUBFxw6UEg
b_21210,100,,0,To Casino,2_merged_671604,"Mon, Wed, Fri",3_px6wlo89k,,
b_23311,105_merged_671265,,1,To Hellertown,33_merged_671530,Sunday_merged_671279,2_qbojrhthe,,
b_21213,209_merged_671266,,0,To Cumberland Gardens,57_merged_671488,"Mon, Wed, Fri",3_avcgslk9t,,
b_21222,603_merged_671260,,0,To Lehigh Valley Mall,145_merged_671544,"Mon, Wed, Fri",3_zlbwkr0l2,,
b_11201,606,,0,Southside Easton via Packer,151_merged_671569,Weekday_merged_671280,0_yoarj5d7n,,
a_22117.0,102_merged_671242,,0,To Wind Creek,16_merged_671399,Saturday_merged_671278,1_wm2h1bnoc,,
a_22120.0,104_merged_671247,,0,To Lehigh Valley Mall,36_merged_671372,Saturday_merged_671278,1_obX0yEOMydrH,,
a_13102.0,605_merged_671232,,0,Freemansburg ; BTC - Bethlehem; Southside - Commerce Center Blvd,210,Sunday_merged_671276,2_eknjY-7cgeFV_merged_671772,,2_eknjY-7cgeFV
a_23103.0,107_merged_671246,,1,To Allentown Transit Center,65_merged_671380,Sunday_merged_671276,2_69cd0vco8_merged_672182,,2_69cd0vco8
a_22118.0,218_merged_671231,,0,To Allentown Transit Center,126_merged_671315,Saturday_merged_671278,1_3z4e8c3ik_merged_672263,,1_3z4e8c3ik
a_11202.0,101_merged_671244,,1,To Trexlertown Plaza,7_merged_671353,Weekday_merged_671277,0_consav312,,
a_21222.0,215_merged_671225,,1,To Hellertown,111_merged_671339,Weekday_merged_671277,0_XEgKfw4s55SC,,
a_23112.0,104_merged_671247,,0,To Lehigh Valley Mall,36_merged_671372,Sunday_merged_671276,2_0WR4czxGeF_k,,
a_12114.0,605_merged_671232,,0,Freemansburg ; BTC - Bethlehem; Southside - Commerce Center Blvd,210,Saturday_merged_671278,1_cnm1lqgKuo90,,
a_21229.0,325_merged_671237,,0,To Palmerton,160_merged_671388,Weekday_merged_671277,0_DEGiYADYIsj_merged_671696,,0_DEGiYADYIsj
b_12203,217_merged_671250,,1,To Wind Gap,102_merged_671520,Saturday_merged_671281,1_P_Wxcen84qH_merged_673027,,1_P_Wxcen84qH
b_22212,100,,0,To Casino,3_merged_671515,Saturday_merged_671281,1_3cd0g946p,,
b_21214,100,,1,To Whitehall Central,5_merged_671590,"Mon, Wed, Fri",3_xm5y56291,,
a_21304.0,102_merged_671242,,0,To Wind Creek,16_merged_671399,Weekday_merged_671277,0_97znrr9co,,
b_21227,324_merged_671263,,1,To ATC,135_merged_671451,Weekday_merged_671280,0_enmx7g06t,,
a_23103.0,107_merged_671246,,0,To Bethlehem Transit Center,60_merged_671375,Sunday_merged_671276,2_lqu5yqjue_merged_671707,,2_lqu5yqjue
b_11304,106_merged_671272,,1,To EITC - Easton Intermodal,41_merged_671606,"Mon, Wed, Fri",3_qdodony7j,,
b_11210,312_merged_671256,,1,To BTC - Bethlehem,120_merged_671472,Weekday_merged_671280,0_cGuhQ5AhUoK_merged_672523,,0_cGuhQ5AhUoK
b_11207,217_merged_671250,,0,To Roseto,99_merged_671548,"Mon, Wed, Fri",3_qheiqy028,,
a_22122.0,213_merged_671226,,1,To Amazon - no St Luke's,99_merged_671385,Saturday_merged_671278,1_wzizkiG1OKg_merged_671662,,1_wzizkiG1OKg
a_21233.0,613_merged_671240,,0,Lehigh Valley West Loop,211,Weekday_merged_671277,0_n18xoj5sm,,
a_23115.0,102_merged_671242,,0,To Wind Creek,16_merged_671399,Sunday_merged_671276,2_a5bivcgne,,
b_21301,210_merged_671254,,1,To South Mall,68_merged_671471,"Mon, Wed, Fri",3_y96auz145,,
b_13201,106_merged_671272,,1,To EITC - Easton Intermodal,40_merged_671587,Sunday_merged_671279,2_UbCwhTMkpvyG_merged_672582,,2_UbCwhTMkpvyG
b_21404,104_merged_671274,,1,To Cedar Crest Hosp,28_merged_671465,Weekday_merged_671280,0_hwrkfwym3,,
a_22120.0,104_merged_671247,,0,To Lehigh Valley Mall,36_merged_671372,Saturday_merged_671278,1_YbMHu8v_3JVi,,
a_21205.0,101_merged_671244,,1,To Trexlertown Plaza,6_merged_671382,Weekday_merged_671277,0_iob2r192o,,
b_21205,319_merged_671257,,1,To LV Mall,127_merged_671479,Weekday_merged_671280,0_fNv1wE8Be8yN_merged_672751,,0_fNv1wE8Be8yN
b_21211,103_merged_671270,,1,To South Bethlehem,22_merged_671462,Weekday_merged_671280,0_pfs3i1yie,,
b_11201,216_merged_671249,,1,To EITC - Easton Intermodal,96_merged_671470,"Mon, Wed, Fri",3_hxbq3am56,,
a_21201.0,101_merged_671244,,0,To EITC - Easton,2_merged_671441,Weekday_merged_671277,0_26ajfwup4,,
b_13201,606,,1,Southside Easton via Centre,153_merged_671571,Sunday_merged_671279,2_09puo8li4,,
b_21214,613_merged_671267,,0,Lehigh Valley West Loop,154_merged_671574,"Mon, Wed, Fri",3_4bkqfez2o,,
a_21219.0,603_merged_671233,,1,To Parkway Shopping Center,207,Weekday_merged_671277,0_HPv8v8Vk9K7d_merged_671619,,0_HPv8v8Vk9K7d
b_13402,606,,0,Southside Easton via Packer,151_merged_671569,Sunday_merged_671279,2_x8jiipspo,,
b_23308,319_merged_671257,,0,To FedEx Willowbrook,123_merged_671475,Sunday_merged_671279,2_KTO83EH2U776_merged_672664,,2_KTO83EH2U776
a_23118.0,102_merged_671242,,1,To LVHN Cedar Crest,22_merged_671299,Sunday_merged_671276,2_bon1491jl,,
b_11211,106_merged_671272,,0,To Palmer Ind. Park / Amazon,38_merged_671529,"Mon, Wed, Fri",3_yjm61q9uf,,
b_21209,105_merged_671265,,0,To LVIA Airport,31_merged_671532,Weekday_merged_671280,0_tfd4j4u1z,,
b_12205,108_merged_671268,,1,To Fountain Hill,53_merged_671492,Saturday_merged_671281,1_KaWD33p6kYI_merged_673062,,1_KaWD33p6kYI
